Study ID,First Author,Publication Year,Title,Publication Type,Publication Venue,DOI/URL,Study Design,Research Question/Objective,Target Model Type,Model Architecture,Domain/Application,Attack Type,Attack Method,Attack Success Rate,Defense Mechanism,Defense Effectiveness,Evaluation Metrics,Dataset Used,Sample Size,Key Findings,Limitations,Future Work Recommendations,Relevance to Adversarial Dynamics,Quality Score (1-5),Notes
S001,Goodfellow,2014,Explaining and harnessing adversarial examples,Journal Article,arXiv preprint,https://arxiv.org/abs/1412.6572,Theoretical & Empirical,Explain adversarial examples and propose FGSM attack,Image Classifiers,Deep Neural Networks,Computer Vision,White-box Gradient-based,Fast Gradient Sign Method (FGSM),High (>90%),Adversarial Training,Moderate,Accuracy under attack,MNIST/CIFAR-10,N/A,Linear behavior explains adversarial examples,Limited to simple models,Explore non-linear models,High - foundational work,5,Foundational paper on adversarial examples
S002,Szegedy,2014,Intriguing properties of neural networks,Conference Paper,ICLR,https://arxiv.org/abs/1312.6199,Empirical,Discover adversarial examples in neural networks,Image Classifiers,Convolutional Neural Networks,Computer Vision,White-box Optimization-based,L-BFGS optimization,High (>95%),None,N/A,Misclassification rate,ImageNet,Multiple samples,Small perturbations cause misclassification,Limited defense analysis,Develop robust models,High - first discovery,5,First paper discovering adversarial examples
S003,Carlini,2017,Towards evaluating the robustness of neural networks,Conference Paper,IEEE S&P,https://arxiv.org/abs/1608.04644,Empirical & Analytical,Develop strong adversarial attacks (C&W),Image Classifiers,Deep Neural Networks,Computer Vision,White-box Optimization-based,Carlini & Wagner (C&W) attack,Very High (>99%),Defensive Distillation,Bypassed,L0/L2/L∞ distance,MNIST/CIFAR-10/ImageNet,10000+,C&W attack defeats existing defenses,Computationally expensive,Certified defenses needed,High - strongest attack,5,Demonstrated inadequacy of existing defenses
S004,Brown,2017,Adversarial patch,Journal Article,arXiv preprint,https://arxiv.org/abs/1712.09665,Empirical,Create physical adversarial patches,Object Detectors,CNNs,Computer Vision,Physical-world,Adversarial Patch,Moderate to High (varies),None tested,N/A,Detection accuracy,ImageNet,Multiple objects,Physical patches fool classifiers,Limited to specific objects,Improve patch robustness,High - physical attacks,4,Practical real-world attack scenario
S005,Athalye,2018,Synthesizing robust adversarial examples,Conference Paper,ICML,https://arxiv.org/abs/1707.07397,Empirical,Create 3D adversarial examples,Object Classifiers,Deep Neural Networks,Computer Vision,Physical-world,Expectation over Transformation (EOT),High (>80%),None tested,N/A,Accuracy across transformations,Various datasets,Multiple 3D objects,3D examples robust to transformations,Limited to specific viewpoints,Scale to diverse scenarios,High - robust physical attacks,5,Demonstrates persistent adversarial examples
S006,Madry,2018,Towards deep learning models resistant to adversarial attacks,Conference Paper,ICLR,https://arxiv.org/abs/1706.06083,Theoretical & Empirical,Develop PGD attack and adversarial training,Image Classifiers,Deep Neural Networks,Computer Vision,White-box Iterative,Projected Gradient Descent (PGD),Very High (>99%),Adversarial Training,Good (50-60% robust accuracy),Robust accuracy,MNIST/CIFAR-10,60000/50000,PGD is strongest first-order attack,Computational cost high,Explore certified defenses,High - strong defense baseline,5,Gold standard for adversarial robustness
S007,Moosavi-Dezfooli,2017,Universal adversarial perturbations,Conference Paper,CVPR,https://arxiv.org/abs/1610.08401,Empirical,Find universal perturbations,Image Classifiers,CNNs,Computer Vision,White-box Optimization,Universal perturbation algorithm,High (>80%),None tested,N/A,Fooling rate,ImageNet,50000,Single perturbation fools most images,Limited transferability across models,Understand universal properties,High - universal attacks,5,Image-agnostic adversarial perturbations
S008,Ilyas,2019,Adversarial examples are not bugs they are features,Conference Paper,NeurIPS,https://arxiv.org/abs/1905.02175,Theoretical & Empirical,Explain adversarial examples as features,Image Classifiers,ResNet,Computer Vision,Theoretical,Feature analysis,N/A,None,N/A,Model robustness/accuracy,CIFAR-10/ImageNet,50000+,Adversarial examples exploit useful features,Limited to image domain,Extend to other domains,High - paradigm shift,5,Challenges conventional understanding
S009,Kurakin,2017,Adversarial examples in the physical world,Workshop Paper,ICLR Workshop,https://arxiv.org/abs/1607.02533,Empirical,Test physical adversarial examples,Image Classifiers,Inception,Computer Vision,Physical-world,Printed adversarial images,Moderate (40-60%),None,N/A,Classification accuracy,ImageNet,Multiple images,Physical perturbations persist,Limited by printing process,Improve physical robustness,High - real-world applicability,4,Demonstrates practical threat
S010,Papernot,2016,Transferability in machine learning,Journal Article,arXiv preprint,https://arxiv.org/abs/1605.07277,Empirical,Study adversarial transferability,Image/Text Classifiers,Various DNNs,Multiple domains,Black-box Transfer,Substitute model training,Moderate to High (varies),None tested,N/A,Transfer success rate,MNIST/CIFAR-10,Multiple samples,Adversarial examples transfer across models,Limited understanding of mechanism,Theoretical analysis needed,High - enables black-box attacks,5,Critical for black-box attack scenarios
S011,Biggio,2013,Evasion attacks against machine learning at test time,Conference Paper,ECML PKDD,https://arxiv.org/abs/1708.06131,Theoretical & Empirical,Study evasion attacks on ML,Various Classifiers,SVM/Neural Networks,Malware Detection,White-box Gradient-based,Gradient-based evasion,High (>70%),None,N/A,Evasion rate,PDF malware,Multiple samples,Test-time attacks effective,Limited to specific domain,General framework needed,Medium - early work,4,Early work on adversarial ML
S012,Papernot,2017,Practical black-box attacks against machine learning,Conference Paper,ACM ASIACCS,https://arxiv.org/abs/1602.02697,Empirical,Develop practical black-box attacks,Image Classifiers,DNNs,Computer Vision,Black-box,Substitute model attack,High (>80%),None tested,N/A,Attack success rate,MNIST/CIFAR-10/GTSRB,Multiple samples,Black-box attacks via transferability,Requires query access,Improve query efficiency,High - practical attack,5,Enables practical black-box attacks
S013,Tramèr,2018,Ensemble adversarial training,Conference Paper,ICLR,https://arxiv.org/abs/1705.07204,Empirical,Improve adversarial training,Image Classifiers,ResNet,Computer Vision,White-box,Multiple attacks,N/A,Ensemble Adversarial Training,Good improvement,Robust accuracy,MNIST/CIFAR-10/ImageNet,Multiple samples,Ensemble training improves robustness,Still vulnerable to strong attacks,Explore certified methods,High - improved defense,4,Practical defense improvement
S014,Weng,2018,Towards fast computation of certified robustness,Conference Paper,ICML,https://arxiv.org/abs/1804.09699,Theoretical & Empirical,Fast certified robustness computation,Image Classifiers,ReLU Networks,Computer Vision,Certification,Linear programming relaxation,N/A,Certified Defense,Provable guarantees,Certified radius,MNIST/CIFAR-10,10000,Fast certification algorithm,Limited to small networks,Scale to large networks,High - certified defense,5,Efficient certified robustness
S015,Raghunathan,2018,Certified defenses against adversarial examples,Conference Paper,ICLR,https://arxiv.org/abs/1801.09344,Theoretical & Empirical,Provide certified defenses,Image Classifiers,Neural Networks,Computer Vision,Certification,Semidefinite programming,N/A,Certified Defense,Provable bounds,Certified accuracy,MNIST,10000,Provable defense with guarantees,Scalability issues,Improve scalability,High - theoretical guarantee,5,Provable defense mechanism
S016,Song,2018,PixelDefend,Conference Paper,ICLR,https://arxiv.org/abs/1710.10766,Empirical,Use generative models for defense,Image Classifiers,PixelCNN,Computer Vision,Defense Mechanism,Generative model purification,N/A,PixelDefend,Good (>80% recovery),Classification accuracy,CIFAR-10/Fashion-MNIST,10000,Purification effective against attacks,Adaptive attacks can bypass,Robust purification methods,Medium - can be bypassed,4,Generative model-based defense
S017,Samangouei,2018,Defense-GAN,Conference Paper,ICLR,https://arxiv.org/abs/1805.06605,Empirical,GAN-based defense mechanism,Image Classifiers,GAN,Computer Vision,Defense Mechanism,GAN-based reconstruction,N/A,Defense-GAN,Moderate effectiveness,Classification accuracy,MNIST/F-MNIST,Multiple samples,GANs can defend against attacks,Limited to distribution,Improve GAN robustness,Medium - limited effectiveness,4,GAN-based defense approach
S018,Shan,2023,Prompt injection attacks and defenses,Journal Article,arXiv preprint,https://arxiv.org/abs/2310.12815,Empirical & Analytical,Study prompt injection in LLMs,Large Language Models,Transformer-based,NLP Applications,Prompt Injection,Various injection techniques,High (>70%),Input sanitization,Partial effectiveness,Success rate of injection,Multiple LLMs,100+ prompts,Prompt injection is significant threat,Limited defense options,Develop robust defenses,High - LLM specific,5,Critical for LLM security
S019,Perez,2022,Red teaming language models with language models,Conference Paper,EMNLP,https://arxiv.org/abs/2202.03286,Empirical,Automated red teaming for LLMs,Large Language Models,Transformer,Natural Language,Automated Red Teaming,LM-based red teaming,Varies by metric,RLHF fine-tuning,Reduces harmful outputs,Toxicity/Bias metrics,Multiple LLMs,1000+ prompts,Automated red teaming scalable,Limited coverage,Improve coverage,High - automated evaluation,5,Scalable red teaming approach
S020,Zou,2023,Universal and transferable adversarial attacks on aligned LLMs,Journal Article,arXiv preprint,https://arxiv.org/abs/2307.15043,Empirical,Develop universal adversarial suffixes,Large Language Models,LLaMA/GPT variants,Natural Language,White-box Optimization,Greedy Coordinate Gradient (GCG),High (>80%),None tested,N/A,Attack success rate,AdvBench,Multiple behaviors,Universal suffixes transfer across models,Requires white-box access,Black-box variants needed,High - universal LLM attack,5,Universal jailbreaking technique
S021,Wei,2023,Jailbroken,Conference Paper,NeurIPS,https://arxiv.org/abs/2307.02483,Analytical & Empirical,Analyze LLM safety training failures,Large Language Models,GPT-family,Natural Language,Jailbreak Analysis,Competing objectives analysis,Varies,Safety training,Partially effective,Jailbreak success rate,Multiple datasets,Multiple models,Safety and capabilities in tension,Incomplete understanding,Better training methods,High - understanding failures,5,Important analysis of alignment
S022,Wallace,2019,Universal adversarial triggers for NLP,Conference Paper,EMNLP,https://arxiv.org/abs/1908.07125,Empirical,Develop universal triggers for NLP,NLP Models,BERT/GPT,Natural Language,White-box Gradient,Universal trigger optimization,High (>90%),None tested,N/A,Attack success rate,Various NLP datasets,Multiple tasks,Universal triggers effective on NLP,Limited transferability,Improve defenses,High - NLP specific,5,Universal adversarial triggers
S023,Ebrahimi,2018,HotFlip,Conference Paper,ACL,https://arxiv.org/abs/1712.06751,Empirical,Character-level adversarial attacks,Text Classifiers,CNN/LSTM,Natural Language,White-box,Character flipping,High (>85%),None tested,N/A,Classification accuracy,AG News/IMDB,Multiple samples,Character-level attacks effective,Limited to classification,Extend to generation,Medium - specific domain,4,Character-level perturbations
S024,Gao,2018,Black-box generation of adversarial text,Conference Paper,IEEE SPW,https://arxiv.org/abs/1801.04354,Empirical,Black-box text adversarial attacks,Text Classifiers,RNN/CNN,Natural Language,Black-box,Genetic algorithm,Moderate (60-70%),None tested,N/A,Attack success rate,IMDB/Fake News,1000+ samples,Black-box attacks on text possible,Semantic preservation issues,Improve naturalness,Medium - black-box text,4,Black-box text attack method
S025,Carlini,2021,Extracting training data from LLMs,Conference Paper,USENIX Security,https://arxiv.org/abs/2012.07805,Empirical,Extract training data from LLMs,Large Language Models,GPT-2/GPT-3,Natural Language,Privacy Attack,Targeted extraction,Moderate (varies),Differential privacy,Reduces leakage,Extraction success rate,Various text corpora,Multiple samples,Training data can be extracted,Scale dependent,Stronger privacy guarantees,High - privacy threat,5,Privacy implications for LLMs
S026,Shayegani,2023,Jailbreak in pieces,Journal Article,arXiv preprint,https://arxiv.org/abs/2307.14539,Empirical,Compositional attacks on multi-modal LLMs,Multi-modal LLMs,CLIP/Flamingo,Vision & Language,Multi-modal,Cross-modal jailbreak,High (>75%),None tested,N/A,Jailbreak success rate,Custom dataset,100+ prompts,Multi-modal attacks effective,Limited to specific models,General defense needed,High - multi-modal specific,5,Multi-modal jailbreaking
